site,habitat,x,y,canopy,canopy_percent,leaf_litter,grass_height
EW1A+20,grassland,2,10,0,0,0,29
EW1A+20,grassland,1,4,0,0,0,32
EW1A+20,grassland,2,16,0,0,0,20
EW1A+20,grassland,4,16,0,0,0,31
EW1A+20,grassland,3,1,18.7,19.448,0,34
EW1A0,edge,5,20,8,8.32,1,4.5
EW1A0,edge,4,11,59,61.36,0,30
EW1A0,edge,5,7,40,41.6,0,18
EW1A0,edge,4,4,23,23.92,0,15
EW1A0,edge,3,9,96,99.84,1,31
EW1A-20,forest,2,19,94,97.76,10,0
EW1A-20,forest,3,4,96,99.84,8,0
EW1A-20,forest,1,1,92,95.68,6,0
EW1A-20,forest,1,13,96,99.84,9,0
EW1A-20,forest,3,6,95,98.8,4,0
EW1B+20,grassland,3,11,0,0,0,21
EW1B+20,grassland,2,3,0,0,0,51
EW1B+20,grassland,5,20,0,0,0,15
EW1B+20,grassland,2,15,0,0,0,16
EW1B+20,grassland,2,8,0,0,0,24
EW1B0,edge,1,11,79,82.16,1,9
EW1B0,edge,5,5,25,26,0,18
EW1B0,edge,1,3,96,99.84,7,15
EW1B0,edge,3,19,36,37.44,0,34
EW1B0,edge,4,18,4,4.16,0,27
EW1B-20,forest,2,14,91,94.64,4,0
EW1B-20,forest,5,14,89,92.56,5,0
EW1B-20,forest,3,10,90,93.6,9,0
EW1B-20,forest,2,1,89,92.56,2,0
EW1B-20,forest,5,19,94,97.76,3,0
EW1C+20,grassland,4,15,0,0,0,18
EW1C+20,grassland,5,9,0,0,0,20
EW1C+20,grassland,1,6,0,0,0,26
EW1C+20,grassland,4,9,0,0,0,45
EW1C+20,grassland,5,16,0,0,0,40
EW1C0,edge,1,6,20,20.8,1,25
EW1C0,edge,2,15,93,96.72,6,12
EW1C0,edge,5,13,88,91.52,0,26
EW1C0,edge,1,17,16,16.64,8,7
EW1C0,edge,4,8,55,57.2,0,24
EW1C-20,forest,3,1,93,96.72,3,0
EW1C-20,forest,2,15,92,95.68,7,0
EW1C-20,forest,1,13,89,92.56,9,0
EW1C-20,forest,1,3,96,99.84,4,0
EW1C-20,forest,5,18,95,98.8,8,10
EW2A+20,grassland,3,5,0,0,0,45
EW2A+20,grassland,1,11,0,0,0,32
EW2A+20,grassland,2,2,0,0,0,35
EW2A+20,grassland,2,4,0,0,0,30
EW2A+20,grassland,4,5,0,0,0,39
EW2A0,edge,2,15,95,98.8,4,20
EW2A0,edge,1,17,94,97.76,2,25
EW2A0,edge,5,6,0,0,0,26
EW2A0,edge,3,5,6,6.24,0,24
EW2A0,edge,4,6,0,0,0,19
EW2A-20,forest,5,17,92,95.68,2,0
EW2A-20,forest,3,14,96,99.84,3,0
EW2A-20,forest,3,11,89,92.56,10,0
EW2A-20,forest,5,5,96,99.84,4,0
EW2A-20,forest,1,13,93,96.72,3,0
EW2B+20,grassland,3,5,0,0,0,45
EW2B+20,grassland,1,11,0,0,0,32
EW2B+20,grassland,2,2,0,0,0,35
EW2B+20,grassland,2,4,0,0,0,30
EW2B+20,grassland,4,5,0,0,0,39
EW2B0,edge,1,12,95,98.8,8,0
EW2B0,edge,4,3,93,96.72,7,0
EW2B0,edge,3,2,96,99.84,12,0
EW2B0,edge,5,13,94,97.76,2,29
EW2B0,edge,5,5,89,92.56,2.5,30
EW2B-20,forest,1,13,96,99.84,6,0
EW2B-20,forest,4,10,89,92.56,10,0
EW2B-20,forest,3,16,96,99.84,5,0
EW2B-20,forest,2,12,96,99.84,3,0
EW2B-20,forest,3,20,91,94.64,12,0
EW3A+20,grassland,4,7,0,0,0,35
EW3A+20,grassland,1,8,0,0,0,24
EW3A+20,grassland,2,7,0,0,0,19
EW3A+20,grassland,5,8,0,0,0,32
EW3A+20,grassland,3,4,0,0,0,36
EW3A0,edge,3,15,96,99.84,5,18
EW3A0,edge,5,18,3,3.12,0,30
EW3A0,edge,5,7,96,99.84,0,17
EW3A0,edge,4,8,59,61.36,1,0
EW3A0,edge,2,17,96,99.84,4,0
EW3A-20,forest,1,9,91,94.64,11,0
EW3A-20,forest,3,14,91,94.64,11,0
EW3A-20,forest,5,5,91,94.64,9,0
EW3A-20,forest,2,15,88,91.52,7,0
EW3A-20,forest,4,20,93,96.72,15,0
EW3B+20,grassland,2,9,0,0,0,35
EW3B+20,grassland,4,1,0,0,0,0
EW3B+20,grassland,5,10,0,0,0,24
EW3B+20,grassland,4,20,0,0,0,36
EW3B+20,grassland,5,9,0,0,0,32
EW3B0,edge,1,20,90,93.6,4.5,23
EW3B0,edge,5,3,89,92.56,5,0
EW3B0,edge,3,19,94,97.76,3,22
EW3B0,edge,2,10,89,92.56,0,21
EW3B0,edge,5,15,45,46.8,0,22
EW3B-20,forest,2,9,91,94.64,13,0
EW3B-20,forest,1,12,95,98.8,9,0
EW3B-20,forest,2,15,94,97.76,10,0
EW3B-20,forest,5,4,96,99.84,12,0
EW3B-20,forest,3,20,77,80.08,4,20
CCSP1A+20,grassland,5,2,0,0,0,46
CCSP1A+20,grassland,1,14,0,0,0,37
CCSP1A+20,grassland,4,5,0,0,0,50
CCSP1A+20,grassland,3,16,0,0,0,32
CCSP1A+20,grassland,1,20,0,0,0,20
CCSP1A0,edge,5,12,92,95.68,3,40
CCSP1A0,edge,5,16,92,95.68,1,29
CCSP1A0,edge,3,20,88,91.52,3,0
CCSP1A0,edge,1,6,96,99.84,3,0
CCSP1A0,edge,3,4,96,99.84,6,0
CCSP1A-20,forest,5,14,92,95.68,5,0
CCSP1A-20,forest,1,8,94,97.76,4,0
CCSP1A-20,forest,4,3,94,97.76,8,0
CCSP1A-20,forest,5,11,92,95.68,3,0
CCSP1A-20,forest,4,16,91,94.64,2,0
CCSP1B+20,grassland,2,5,0,0,0,50
CCSP1B+20,grassland,5,20,0,0,0,25
CCSP1B+20,grassland,4,3,0,0,0,15
CCSP1B+20,grassland,3,14,0,0,0,0
CCSP1B+20,grassland,1,2,0,0,0,40
CCSP1B0,edge,5,15,17,17.68,0,45
CCSP1B0,edge,2,10,38,39.52,9,0
CCSP1B0,edge,3,13,67,69.68,3,42
CCSP1B0,edge,5,7,95,98.8,9,0
CCSP1B0,edge,4,4,67,69.68,4,19
CCSP1B-20,forest,4,11,90,93.6,4,0
CCSP1B-20,forest,3,13,92,95.68,4,0
CCSP1B-20,forest,1,4,95,98.8,4,0
CCSP1B-20,forest,5,6,91,94.64,3,28
CCSP1B-20,forest,4,9,76,79.04,5,0
CCSP2A+20,grassland,3,20,0,0,0,40
CCSP2A+20,grassland,5,14,0,0,0,40
CCSP2A+20,grassland,3,1,0,0,0,27
CCSP2A+20,grassland,2,10,0,0,0,37
CCSP2A+20,grassland,1,12,0,0,0,35
CCSP2A0,edge,4,6,16,16.64,2,28
CCSP2A0,edge,2,3,86,89.44,3,45
CCSP2A0,edge,1,17,94,97.76,7,0
CCSP2A0,edge,3,12,66,68.64,5,50
CCSP2A0,edge,5,5,13,13.52,1,30
CCSP2A-20,forest,5,8,91,94.64,4,0
CCSP2A-20,forest,3,12,84,87.36,4,0
CCSP2A-20,forest,3,1,88,91.52,4,0
CCSP2A-20,forest,4,18,91,94.64,6,0
CCSP2A-20,forest,2,17,86,89.44,7,0
CCSP2B+20,grassland,2,2,0,0,0,24
CCSP2B+20,grassland,5,8,0,0,0,20
CCSP2B+20,grassland,1,6,0,0,0,45
CCSP2B+20,grassland,5,11,0,0,0,25
CCSP2B+20,grassland,4,18,0,0,0,40
CCSP2B0,edge,1,13,96,99.84,3.5,0
CCSP2B0,edge,4,19,0,0,0,15
CCSP2B0,edge,3,15,28,29.12,2,16
CCSP2B0,edge,4,6,44,45.76,1,25
CCSP2B0,edge,3,5,75,78,2,50
CCSP2B-20,forest,2,8,44,45.76,4,28
CCSP2B-20,forest,5,17,75,78,0,0
CCSP2B-20,forest,4,3,86,89.44,5,0
CCSP2B-20,forest,1,4,94,97.76,5,0
CCSP2B-20,forest,2,13,96,99.84,3,30
CCSP3A+20,grassland,1,4,0,0,0,30
CCSP3A+20,grassland,4,13,0,0,0,35
CCSP3A+20,grassland,3,8,0,0,0,46
CCSP3A+20,grassland,4,4,0,0,0,120
CCSP3A+20,grassland,1,1,0,0,0,80
CCSP3A0,edge,3,16,90,93.6,7,20
CCSP3A0,edge,4,13,95,98.8,7,25
CCSP3A0,edge,4,5,39,40.56,4,50
CCSP3A0,edge,1,20,91,94.64,8,0
CCSP3A0,edge,5,3,2,2.08,3,40
CCSP3A-20,forest,3,6,96,99.84,4,0
CCSP3A-20,forest,4,10,92,95.68,12,0
CCSP3A-20,forest,1,17,90,93.6,4,0
CCSP3A-20,forest,2,7,92,95.68,10,0
CCSP3A-20,forest,5,2,94,97.76,4,0
CCSP3B+20,grassland,2,9,10,10.4,0,35
CCSP3B+20,grassland,2,15,7,7.28,0,50
CCSP3B+20,grassland,5,19,5,5.2,0,54
CCSP3B+20,grassland,4,6,0,0,0,45
CCSP3B+20,grassland,5,14,0,0,0,60
CCSP3B0,edge,3,9,20,20.8,0,28
CCSP3B0,edge,4,10,24,24.96,0,30
CCSP3B0,edge,3,8,48,49.92,1,45
CCSP3B0,edge,4,20,9,9.36,0,25
CCSP3B0,edge,1,4,86,89.44,1,0
CCSP3B-20,forest,3,1,96,99.84,11,0
CCSP3B-20,forest,1,2,76,79.04,4,0
CCSP3B-20,forest,2,17,92,95.68,6,20
CCSP3B-20,forest,4,5,92,95.68,6,0
CCSP3B-20,forest,5,12,63,65.52,5,15
CCSP4A+20,grassland,1,4,0,0,0,70
CCSP4A+20,grassland,5,18,0,0,0,0
CCSP4A+20,grassland,2,19,0,0,0,60
CCSP4A+20,grassland,1,17,0,0,0,52
CCSP4A+20,grassland,3,7,0,0,0,50
CCSP4A0,edge,2,2,80,83.2,1,0
CCSP4A0,edge,1,11,53,55.12,0,45
CCSP4A0,edge,5,13,52,54.08,0,35
CCSP4A0,edge,2,7,91,94.64,4,0
CCSP4A0,edge,1,18,88,91.52,3,0
CCSP4A-20,forest,4,18,96,99.84,10,0
CCSP4A-20,forest,5,11,80,83.2,4,0
CCSP4A-20,forest,2,9,92,95.68,5,0
CCSP4A-20,forest,5,10,88,91.52,5,0
CCSP4A-20,forest,1,6,92,95.68,2,0
CCSP4B+20,grassland,,,0,0,0,45
CCSP4B+20,grassland,,,0,0,0,25
CCSP4B+20,grassland,,,0,0,0,40
CCSP4B+20,grassland,,,0,0,0,28
CCSP4B+20,grassland,,,0,0,0,30
CCSP4B0,edge,,,58,60.32,0,30
CCSP4B0,edge,1,10,94,97.76,8,0
CCSP4B0,edge,3,13,93,96.72,10,30
CCSP4B0,edge,,14,51,53.04,1,28
CCSP4B0,edge,,18,87,90.48,3,0
CCSP4B-20,forest,3,6,90,93.6,10,0
CCSP4B-20,forest,1,20,72,74.88,6,0
CCSP4B-20,forest,,,78,81.12,4,0
CCSP4B-20,forest,,,94,97.76,1,0
CCSP4B-20,forest,,,90,93.6,4,0
MMWD1A+20,grassland,5,1,0,0,0,35
MMWD1A+20,grassland,3,14,0,0,0,30
MMWD1A+20,grassland,2,16,0,0,0,49
MMWD1A+20,grassland,1,20,0,0,0,18
MMWD1A+20,grassland,4,11,0,0,0,48
MMWD1A0,edge,4,14,28,29.12,1,48
MMWD1A0,edge,5,20,21,21.84,0,18
MMWD1A0,edge,1,7,9,9.36,1,0
MMWD1A0,edge,2,2,65,67.6,2,0
MMWD1A0,edge,5,6,4,4.16,5,0
MMWD1A-20,forest,5,9,91,94.64,3,0
MMWD1A-20,forest,2,5,90,93.6,10,0
MMWD1A-20,forest,4,7,90,93.6,5,0
MMWD1A-20,forest,2,17,89,92.56,9,0
MMWD1A-20,forest,3,1,87,90.48,4,0
MMWD1B+20,grassland,1,4,0,0,0,45
MMWD1B+20,grassland,4,6,0,0,0,38
MMWD1B+20,grassland,5,10,0,0,0,46
MMWD1B+20,grassland,3,18,0,0,0,50
MMWD1B+20,grassland,3,13,0,0,0,37
MMWD1B0,edge,2,15,92,95.68,6,0
MMWD1B0,edge,3,7,89,92.56,2,50
MMWD1B0,edge,4,8,7,7.28,0.5,30
MMWD1B0,edge,2,3,90,93.6,5,25
MMWD1B0,edge,1,19,93,96.72,3,40
MMWD1B-20,forest,3,12,89,92.56,5,0
MMWD1B-20,forest,2,10,90,93.6,5,0
MMWD1B-20,forest,3,2,87,90.48,4,0
MMWD1B-20,forest,1,18,95,98.8,1,0
MMWD1B-20,forest,4,17,90,93.6,6,0
MMWD2A+20,grassland,2,9,0,0,0,20
MMWD2A+20,grassland,4,16,0,0,0,24
MMWD2A+20,grassland,5,4,0,0,0,18
MMWD2A+20,grassland,1,8,0,0,0,15
MMWD2A+20,grassland,5,1,0,0,0,28
MMWD2A0,edge,1,12,64,66.56,2,50
MMWD2A0,edge,1,4,96,99.84,6,0
MMWD2A0,edge,2,15,66,68.64,1,57
MMWD2A0,edge,3,3,92,95.68,5,0
MMWD2A0,edge,4,20,68,70.72,3,36
MMWD2A-20,forest,3,11,89,92.56,2.5,0
MMWD2A-20,forest,2,7,93,96.72,5,0
MMWD2A-20,forest,3,10,95,98.8,4,0
MMWD2A-20,forest,5,17,93,96.72,5,0
MMWD2A-20,forest,3,13,91,94.64,2,0
MMWD2B+20,grassland,4,7,0,0,0,30
MMWD2B+20,grassland,1,20,0,0,0,20
MMWD2B+20,grassland,5,5,0,0,0,33
MMWD2B+20,grassland,4,2,0,0,0,32
MMWD2B+20,grassland,5,18,0,0,0,16
MMWD2B0,edge,3,5,74,76.96,0,48
MMWD2B0,edge,1,14,90,93.6,4.5,50
MMWD2B0,edge,2,20,65,67.6,4,70
MMWD2B0,edge,4,13,92,95.68,4,57
MMWD2B0,edge,5,6,58,60.32,1,60
MMWD2B-20,forest,4,10,84,87.36,5,40
MMWD2B-20,forest,4,3,82,85.28,6,0
MMWD2B-20,forest,3,6,86,89.44,3,0
MMWD2B-20,forest,5,17,72,74.88,1,42
MMWD2B-20,forest,1,9,84,87.36,3,40
MMWD3A+20,grassland,1,3,0,0,0,46
MMWD3A+20,grassland,3,5,0,0,0,54
MMWD3A+20,grassland,5,18,0,0,0,30
MMWD3A+20,grassland,4,2,0,0,0,26
MMWD3A+20,grassland,3,14,26,27.04,0,44
MMWD3A0,edge,1,4,9,9.36,2,46
MMWD3A0,edge,4,18,96,99.84,2,59
MMWD3A0,edge,1,13,82,85.28,4,33
MMWD3A0,edge,4,10,25,26,3,0
MMWD3A0,edge,2,20,81,84.24,0,50
MMWD3A-20,forest,5,19,91,94.64,1,0
MMWD3A-20,forest,5,11,94,97.76,4,0
MMWD3A-20,forest,1,10,93,96.72,3,0
MMWD3A-20,forest,5,1,93,96.72,3,0
MMWD3A-20,forest,1,5,88,91.52,4,0
MMWD3B+20,grassland,2,13,0,0,0,30
MMWD3B+20,grassland,4,11,0,0,0,32
MMWD3B+20,grassland,1,19,0,0,0,20
MMWD3B+20,grassland,2,1,0,0,0,34
MMWD3B+20,grassland,5,8,0,0,0,37
MMWD3B0,edge,5,14,92,95.68,1.5,65
MMWD3B0,edge,1,3,21,21.84,0,46
MMWD3B0,edge,2,17,35,36.4,0,60
MMWD3B0,edge,3,1,89,92.56,0.5,49
MMWD3B0,edge,5,5,82,85.28,1,45
MMWD3B-20,forest,3,1,90,93.6,3,0
MMWD3B-20,forest,5,9,89,92.56,5,0
MMWD3B-20,forest,5,11,92,95.68,9,0
MMWD3B-20,forest,3,8,83,86.32,3,0
MMWD3B-20,forest,1,18,83,86.32,3,0